algorithm,secret,type,size,solved,rounds,time
knuth,12,numeric,2,True,2,0.10824265499832109
knuth,80,numeric,2,True,6,0.06885321200024919
knuth,05,numeric,2,True,5,0.06085287099995185
knuth,25,numeric,2,True,5,0.13739691100272466
knuth,52,numeric,2,True,6,0.15003033300308743
knuth,40,numeric,2,True,5,0.04997192900191294
knuth,10,numeric,2,True,4,0.03086530899963691
knuth,35,numeric,2,True,6,0.19662242900085403
knuth,88,numeric,2,True,6,0.2218723570003931
knuth,25,numeric,2,True,5,0.13913302699802443
genetic,12,numeric,2,True,6,3.3318603170009737
genetic,80,numeric,2,True,2,0.34206668799743056
genetic,05,numeric,2,True,8,6.382427726999595
genetic,25,numeric,2,True,8,6.04189258399856
genetic,52,numeric,2,True,6,3.254326663998654
genetic,40,numeric,2,True,5,2.4849247700003616
genetic,10,numeric,2,True,4,1.5884645480000472
genetic,35,numeric,2,True,7,4.585457107001275
genetic,88,numeric,2,True,5,2.1741769010004646
genetic,25,numeric,2,True,10,9.513098480001645
swaszek,12,numeric,2,True,4,0.0026018229982582852
swaszek,80,numeric,2,True,6,0.0030556399979104754
swaszek,05,numeric,2,True,6,0.0033426019981561694
swaszek,25,numeric,2,True,3,0.0033834360001492314
swaszek,52,numeric,2,True,5,0.0037617920024786144
swaszek,40,numeric,2,True,5,0.003162224998959573
swaszek,10,numeric,2,True,4,0.002364422001846833
swaszek,35,numeric,2,True,3,0.0028810359981434885
swaszek,88,numeric,2,True,7,0.007035037000605371
swaszek,25,numeric,2,True,3,0.0023265160016308073
knuth,880,numeric,3,True,6,1.8432096249998722
knuth,030,numeric,3,True,4,0.31319255199923646
knuth,307,numeric,3,True,6,2.1331124429998454
knuth,036,numeric,3,True,6,2.0672934750000422
knuth,564,numeric,3,True,5,4.607333821000793
knuth,855,numeric,3,True,7,4.994770732002507
knuth,719,numeric,3,True,7,2.158155777997308
knuth,512,numeric,3,True,6,1.667873698999756
knuth,856,numeric,3,True,7,4.917197986000247
knuth,085,numeric,3,True,6,2.1646886490016186
genetic,880,numeric,3,True,7,4.821881812000356
genetic,030,numeric,3,True,3,0.919384741999238
genetic,307,numeric,3,True,5,2.301880600000004
genetic,036,numeric,3,True,3,0.5752000959982979
genetic,564,numeric,3,True,6,2.8813223430006474
genetic,855,numeric,3,True,7,4.246675405000133
genetic,719,numeric,3,True,6,2.9578724650018557
genetic,512,numeric,3,True,3,0.5720422769991274
genetic,856,numeric,3,True,8,5.7620617270004
genetic,085,numeric,3,True,5,2.2873381829995196
swaszek,880,numeric,3,True,9,0.022770881998440018
swaszek,030,numeric,3,True,4,0.01577082499716198
swaszek,307,numeric,3,True,9,0.022521160000906093
swaszek,036,numeric,3,True,6,0.02051402700089966
swaszek,564,numeric,3,True,6,0.026557085999229457
swaszek,855,numeric,3,True,6,0.026626683000358753
swaszek,719,numeric,3,True,4,0.01854812399687944
swaszek,512,numeric,3,True,6,0.020713598998554517
swaszek,856,numeric,3,True,6,0.022244242998567643
swaszek,085,numeric,3,True,3,0.01511944800222409
knuth,1056,numeric,4,True,5,57.88040547900164
knuth,9702,numeric,4,True,7,168.97218443999736
knuth,2633,numeric,4,True,5,260.047740820999
knuth,9426,numeric,4,True,7,319.54643148499963
knuth,9486,numeric,4,True,7,359.6168898729993
knuth,5012,numeric,4,True,6,32.614706305001164
knuth,0508,numeric,4,True,6,61.59003239800222
knuth,0676,numeric,4,True,6,149.87809901400033
knuth,0148,numeric,4,True,6,64.62685645400052
knuth,0935,numeric,4,True,7,137.16346360199896
genetic,1056,numeric,4,True,5,2.399498480001057
genetic,9702,numeric,4,True,5,1.919195058002515
genetic,2633,numeric,4,True,5,1.8417573289989377
genetic,9426,numeric,4,True,6,2.46128883900019
genetic,9486,numeric,4,True,6,2.7580910510005197
genetic,5012,numeric,4,True,7,4.729540685999382
genetic,0508,numeric,4,True,6,3.1773121360020014
genetic,0676,numeric,4,True,6,3.339133858000423
genetic,0148,numeric,4,True,6,3.454438749999099
genetic,0935,numeric,4,True,6,3.546909879998566
swaszek,1056,numeric,4,True,9,0.18873256000006222
swaszek,9702,numeric,4,True,6,0.18997821200173348
swaszek,2633,numeric,4,True,4,0.2036005150002893
swaszek,9426,numeric,4,True,3,0.14465219600242563
swaszek,9486,numeric,4,True,10,0.1816589660011232
swaszek,5012,numeric,4,True,4,0.18693578999955207
swaszek,0508,numeric,4,True,6,0.15319498399912845
swaszek,0676,numeric,4,True,6,0.19053523399998085
swaszek,0148,numeric,4,True,7,0.170492319000914
swaszek,0935,numeric,4,True,6,0.19458511199991335
knuth,jv,lstring,2,True,14,20.67968994900002
knuth,nx,lstring,2,True,14,23.737078688998736
knuth,us,lstring,2,True,13,25.411657358999946
knuth,ad,lstring,2,True,4,0.8763905349987908
knuth,yy,lstring,2,True,14,25.918230782001046
knuth,qa,lstring,2,True,11,2.5895756210011314
knuth,vy,lstring,2,True,15,26.101532192999002
knuth,yl,lstring,2,True,14,22.648153051999543
knuth,ds,lstring,2,True,12,11.636643021000054
knuth,ui,lstring,2,True,13,18.47383081999942
genetic,jv,lstring,2,False,20,35.92005903300014
genetic,nx,lstring,2,True,7,1.3443280790015706
genetic,us,lstring,2,True,14,15.91543413600084
genetic,ad,lstring,2,True,19,35.53384007599743
genetic,yy,lstring,2,True,15,10.856614485001046
genetic,qa,lstring,2,True,3,0.8664126719995693
genetic,vy,lstring,2,True,13,15.135145241001737
genetic,yl,lstring,2,True,17,24.832675727000606
genetic,ds,lstring,2,True,13,10.464502312999684
genetic,ui,lstring,2,True,9,7.7542864920033026
swaszek,jv,lstring,2,True,13,0.038600364001467824
swaszek,nx,lstring,2,False,20,0.048009854999691015
swaszek,us,lstring,2,True,12,0.01857471000039368
swaszek,ad,lstring,2,True,5,0.011327689997415291
swaszek,yy,lstring,2,False,20,0.04234552900015842
swaszek,qa,lstring,2,True,11,0.016798607000964694
swaszek,vy,lstring,2,True,8,0.03774504099783371
swaszek,yl,lstring,2,True,10,0.043946887002675794
swaszek,ds,lstring,2,True,5,0.01897321800061036
swaszek,ui,lstring,2,True,4,0.02420308699947782
genetic,yqq,lstring,3,True,11,8.148659396996663
genetic,slp,lstring,3,True,20,39.20227786000032
genetic,duo,lstring,3,True,15,20.689519878000283
genetic,cuk,lstring,3,True,11,9.064391651001642
genetic,eos,lstring,3,True,11,6.401419934001751
genetic,uuz,lstring,3,True,15,26.61643067499972
genetic,vbr,lstring,3,True,17,37.88427545800005
genetic,uqp,lstring,3,True,14,27.71932979000121
genetic,dgo,lstring,3,True,11,15.297342638998089
genetic,ptj,lstring,3,True,12,11.82528547200127
swaszek,yqq,lstring,3,True,13,0.5187506940019375
swaszek,slp,lstring,3,True,9,0.6380713280013879
swaszek,duo,lstring,3,True,12,0.3057799249982054
swaszek,cuk,lstring,3,True,6,0.53923364900038
swaszek,eos,lstring,3,True,10,0.4718413509981474
swaszek,uuz,lstring,3,True,7,0.28500091299792985
swaszek,vbr,lstring,3,True,6,0.4389875509987178
swaszek,uqp,lstring,3,True,10,0.6497259040006611
swaszek,dgo,lstring,3,True,10,0.6540831569982402
swaszek,ptj,lstring,3,True,15,0.4856875229997968
genetic,jgsf,lstring,4,True,8,10.537661882000975
genetic,moho,lstring,4,True,12,61.28148246600176
genetic,ubbx,lstring,4,True,11,79.17771673799871
genetic,qrlp,lstring,4,True,9,4.693087162999291
genetic,vkcs,lstring,4,True,12,177.48990968900034
genetic,yxgk,lstring,4,True,8,114.05829751599958
genetic,peys,lstring,4,True,9,26.86283661500056
genetic,kxiw,lstring,4,True,13,180.91814232099932
genetic,didc,lstring,4,True,16,181.41550268799983
genetic,kvqk,lstring,4,True,11,47.316983362998144
swaszek,jgsf,lstring,4,True,10,7.583715497999947
swaszek,moho,lstring,4,True,14,8.77211867799997
swaszek,ubbx,lstring,4,True,15,10.419992661998549
swaszek,qrlp,lstring,4,True,9,9.969953058000101
swaszek,vkcs,lstring,4,True,11,8.858351424998546
swaszek,yxgk,lstring,4,True,10,7.540666731998499
swaszek,peys,lstring,4,True,10,10.224973642001714
swaszek,kxiw,lstring,4,True,11,8.463913363000756
swaszek,didc,lstring,4,True,11,11.702015852999466
swaszek,kvqk,lstring,4,True,13,12.731584675002523
genetic,vB,string,2,False,30,84.28208404500037
genetic,Ic,string,2,False,30,86.73945544800154
genetic,lB,string,2,True,9,4.756959635997191
genetic,Fm,string,2,True,10,3.9752177340014896
genetic,ZR,string,2,True,7,2.6187827899993863
genetic,Gu,string,2,True,23,42.5517044900007
genetic,Eq,string,2,False,30,53.22516715600068
genetic,fB,string,2,True,6,1.1214637429984577
genetic,UN,string,2,True,22,43.97384580599828
genetic,Wy,string,2,True,30,36.90857070999846
swaszek,vB,string,2,True,16,0.08982749200004037
swaszek,Ic,string,2,True,27,0.14119083900004625
swaszek,lB,string,2,True,21,0.2428538039966952
swaszek,Fm,string,2,True,29,0.19811954099714058
swaszek,ZR,string,2,True,10,0.1665235139989818
swaszek,Gu,string,2,True,20,0.06271445799939102
swaszek,Eq,string,2,False,30,0.29154313999970327
swaszek,fB,string,2,True,4,0.07296198599942727
swaszek,UN,string,2,True,20,0.30077015300048515
swaszek,Wy,string,2,True,16,0.309477197999513
genetic,hXH,string,3,True,21,40.271366813001805
genetic,ojF,string,3,True,18,23.14407138199749
genetic,TbG,string,3,True,24,63.27858801500042
genetic,PJP,string,3,True,27,154.06690773300215
genetic,Hwl,string,3,True,28,90.6799632839975
genetic,DMX,string,3,True,20,44.65725687000304
genetic,zEc,string,3,True,30,147.12213753099786
genetic,IRA,string,3,True,22,73.2024153659986
genetic,xzS,string,3,True,14,16.54147816299883
genetic,dnM,string,3,True,25,76.5826711669979
swaszek,hXH,string,3,True,20,4.961785840001539
swaszek,ojF,string,3,True,16,8.302485825002805
swaszek,TbG,string,3,True,15,3.834818143997836
swaszek,PJP,string,3,True,18,6.347338645999116
swaszek,Hwl,string,3,True,20,7.720412639002461
swaszek,DMX,string,3,True,25,8.021597259998089
swaszek,zEc,string,3,True,17,5.162766482000734
swaszek,IRA,string,3,True,17,2.2924050519977754
swaszek,xzS,string,3,True,18,7.791074018001382
swaszek,dnM,string,3,True,12,2.077024354999594
genetic,SNie,string,4,True,17,63.5230382080008
genetic,raNz,string,4,True,23,1181.7196785250017
genetic,fMjM,string,4,True,17,712.3236752099983
genetic,DPIe,string,4,True,13,415.7943851220007
genetic,mOiz,string,4,False,30,4965.322553678001
genetic,KcFf,string,4,True,21,942.1289189790041
genetic,czHG,string,4,True,9,752.6089529820019
genetic,QIfl,string,4,True,23,2142.7614649379975
genetic,yWdV,string,4,True,23,1195.9639789709981
genetic,GCOL,string,4,True,18,572.2807567609998
swaszek,SNie,string,4,True,23,309.9989379660037
swaszek,raNz,string,4,True,7,110.98873033699783
swaszek,fMjM,string,4,True,22,197.75679475599463
swaszek,DPIe,string,4,True,19,209.68838686899835
swaszek,mOiz,string,4,True,17,236.24797188200318
swaszek,KcFf,string,4,True,11,247.18142542900023
swaszek,czHG,string,4,True,16,189.74906891099818
swaszek,QIfl,string,4,True,11,117.57290995900257
swaszek,yWdV,string,4,False,30,136.1401568950023
swaszek,GCOL,string,4,True,18,288.62667792700086
